minutes,T,Pa
40.0,121.9,0.00160
41.0,112.6,0.00158
42.0,101.5,0.00140
43.0,93.6,0.00124
44.0,88.4,0.00120
45.0,84.8,0.00120
46.0,81.9,0.00120
47.0,78.9,0.00120
48.0,75.9,0.00114
49.0,73.2,0.000960
50.0,70.4,0.000902
51.0,68.1,0.000876
52.0,65.6,0.000804
53.0,63.2,0.000742
54.0,60.7,0.000684
55.0,58.3,0.000634
56.0,55.9,0.000598
57.0,53.8,0.000576
58.0,52.0,0.000560
58.5,51.1,0.000556
59.0,50.1,0.000616
59.5,49.0,0.000548
60.0,48.1,0.000542
61.0,46.5,0.000534
62.0,45.1,0.000522
63.0,43.8,0.000522
64.0,42.6,0.000520
65.0,41.3,0.000520
66.0,40.0,0.000516
67.0,38.9,0.000512
68.0,37.8,0.000510
69.0,36.8,0.000506
70.0,35.9,0.000508
70.5,35.5,0.000510
71.0,35.1,0.000524
71.5,34.6,0.000560
72.0,34.3,0.000568
73.0,33.6,0.000580
74.0,33.0,0.000596
75.0,32.3,0.000602
76.0,31.6,0.000612
77.0,31.0,0.000620
78.0,30.5,0.000628
79.0,29.9,0.000640
80.0,29.4,0.000656
81.0,29.1,0.000662
82.0,28.2,0.000664
83.0,27.6,0.000678
84.0,26.6,0.000696
85.0,25.9,0.000718